model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Motorola Moto G86 Power 5G,17999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.7,1220 x 2712,120.0,50.0,32.0,1220.0,2712.0,Yes,1,Android,15.0
Xiaomi Redmi Note 14 SE 5G,14999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,6,128,Dimensity 7025 Ultra,8.0,2.5,Octa,6.67,1080 x 2400,120.0,50.0,20.0,1080.0,2400.0,Yes,1,Android,15.0
Vivo T4R 5G,19499,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
OnePlus Nord CE 5 5G,24998,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 128 GB inbuilt","Dimensity 8350 Apex, Octa Core, 3.35 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,8,128,Dimensity 8350 Apex,8.0,3.35,Octa,6.77,1080 x 2392,120.0,50.0,16.0,1080.0,2392.0,Yes,1,Android,15.0
Vivo X200 FE,50750,89.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,1,1,12,256,Dimensity 9300 Plus,8.0,3.25,Octa,6.31,1216 x 2640,120.0,50.0,50.0,1216.0,2640.0,No,0,Android,15.0
Motorola Moto G96 5G,17849,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7s Gen2,8.0,2.4,Octa,6.67,1080 x 2400,144.0,50.0,32.0,1080.0,2400.0,No,0,Android,15.0
OPPO Reno 14 5G,37998,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 8350, Octa Core, 3.35 GHz Processor","6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,256,Dimensity 8350,8.0,3.35,Octa,6.59,1256 x 2760,120.0,50.0,50.0,1256.0,2760.0,Yes,15,No,14.0
iQOO Z10R,19498,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 128 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,128,Dimensity 7400,8.0,2.6,Octa,6.77,1080 x 2392,120.0,50.0,32.0,1080.0,2392.0,No,0,Android,15.0
Motorola Edge 60 Fusion,22228,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 7400, Octa Core, 2.5 GHz Processor","6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 7400,8.0,2.5,Octa,6.7,1220 x 2712,120.0,50.0,32.0,1220.0,2712.0,Yes,1,Android,15.0
Vivo T4x 5G,13999,75.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Dimensity 7300, Octa Core, 2.5 GHz Processor","6.72 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,1,6,128,Dimensity 7300,8.0,2.5,Octa,6.72,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,No,0,Android,15.0
